"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cluster"
"ALOX15...1",0,-3.11598518599914,0.575,0.947,0,"Proliferating Basal"
"ELOVL5...2",4.84708821863111e-148,-1.87315595460423,0.12,0.502,1.15254063662611e-143,"Proliferating Basal"
"AKR1C3...3",1.11167357664136e-121,2.64154183969301,0.545,0.237,2.64333743053783e-117,"Proliferating Basal"
"SLC27A2...4",5.60658768999988e-64,-0.959624894577137,0.217,0.485,1.33313442092817e-59,"Proliferating Basal"
"ACSL3...5",1.39931689519157e-46,-0.475744232431564,0.246,0.495,3.32729571338651e-42,"Proliferating Basal"
"ABCC1...6",2.17621518125083e-45,-1.54874105292434,0.042,0.179,5.17460445797823e-41,"Proliferating Basal"
"MGST3...7",6.39669428889383e-45,1.06576819698795,0.664,0.659,1.52100596801318e-40,"Proliferating Basal"
"ACSL4...8",3.26589725069874e-33,-0.965234296748332,0.11,0.262,7.76565048271148e-29,"Proliferating Basal"
"AGPAT5...9",2.54849721269882e-31,-1.00712337230847,0.072,0.199,6.05981667235525e-27,"Proliferating Basal"
"GPX2...10",4.09985005005517e-31,-0.425510018736915,0.416,0.636,9.74862344902118e-27,"Proliferating Basal"
"MAPKAPK2...11",2.95470231646348e-26,-0.84304822668962,0.082,0.202,7.02569116808687e-22,"Proliferating Basal"
"GPX3...12",3.1032383080439e-23,1.97306499258044,0.141,0.043,7.37888004886679e-19,"Proliferating Basal"
"LTA4H...13",6.45701268313101e-22,-0.364904700861881,0.162,0.305,1.53534847579489e-17,"Proliferating Basal"
"FADS1...14",6.36166018247478e-21,-1.33097024545172,0.032,0.106,1.51267555818885e-16,"Proliferating Basal"
"SOAT1...15",1.55940220157145e-18,-0.525084182632742,0.051,0.133,3.70794655489659e-14,"Proliferating Basal"
"PLA2G16...16",8.73116235579568e-16,1.66250982518155,0.135,0.057,2.0760957849611e-11,"Proliferating Basal"
"LIPE...17",2.1720868937725e-13,-0.956385226520974,0.021,0.068,5.16478821601225e-09,"Proliferating Basal"
"LPCAT2...18",3.31536733264595e-13,-0.368300214731608,0.057,0.126,7.88328044356554e-09,"Proliferating Basal"
"FADS2...19",1.03439107521276e-11,-1.15395979071151,0.012,0.048,2.45957509864089e-07,"Proliferating Basal"
"PTGES...20",1.28601884326628e-11,-0.475232847473038,0.037,0.09,3.05789560551855e-07,"Proliferating Basal"
"PLA2G12A...21",1.94614749838835e-11,0.138427957707763,0.17,0.275,4.62754952166781e-07,"Proliferating Basal"
"CYP2E1...22",3.52626624342681e-11,-2.22422170575501,0.001,0.021,8.38475587362027e-07,"Proliferating Basal"
"LPCAT1...23",8.3876826753478e-11,-0.907139907334785,0.01,0.042,1.9944231865442e-06,"Proliferating Basal"
"ACSL5...24",1.20101169537427e-09,-0.295577491082885,0.062,0.12,2.85576560926095e-05,"Proliferating Basal"
"CYP1B1...25",3.11556189826988e-09,-0.645520626819813,0.011,0.041,7.40818308170611e-05,"Proliferating Basal"
"PTGFR...26",1.08418549507618e-08,2.9301053602132,0.038,0.008,0.000257797627019213,"Proliferating Basal"
"LTC4S...27",2.65278992797715e-08,1.08209139468888,0.227,0.17,0.000630780389074408,"Proliferating Basal"
"PTGER4...28",1.78450753100208e-07,-0.155299998717634,0.05,0.094,0.00424320200721674,"Proliferating Basal"
"PLA2G10...29",1.98429239074894e-07,1.57351960958039,0.112,0.065,0.00471825044672283,"Proliferating Basal"
"ALOX15B...30",7.49781502538748e-07,2.62585376605452,0.027,0.005,0.0178283045673663,"Proliferating Basal"
"ALOX5AP...31",9.67086954808751e-07,-4.65662978138491,0.002,0.015,0.0229953936114425,"Proliferating Basal"
"PAFAH2...32",1.13556650813213e-06,-0.599645474477849,0.026,0.057,0.0270015004303657,"Proliferating Basal"
"ACOT13...33",2.62156373415666e-06,1.00105933648902,0.333,0.31,0.0623355424707771,"Proliferating Basal"
"ACOT7...34",3.60610721072942e-06,-0.219100594797239,0.102,0.156,0.0857460172567242,"Proliferating Basal"
"PTGER2...35",4.91622439611324e-06,-1.75814850120414,0.002,0.013,0.116897983690781,"Proliferating Basal"
"AKR1B1...36",4.92890751302584e-06,1.39808464961636,0.126,0.083,0.117199562844728,"Proliferating Basal"
"PNPLA2...37",2.77992475531167e-05,0.282961661528,0.098,0.146,0.661010508318008,"Proliferating Basal"
"LCAT...38",5.91386201317486e-05,-0.348310093982885,0.009,0.026,1,"Proliferating Basal"
"CYP4F11...39",6.11740749220852e-05,-0.522417695816263,0.03,0.055,1,"Proliferating Basal"
"CYP2U1...40",0.000518732828934013,-0.260060251821352,0.014,0.031,1,"Proliferating Basal"
"ACSL1...41",0.000528438393952952,0.118613445806238,0.027,0.048,1,"Proliferating Basal"
"ACOT2...42",0.000650460583086738,1.38587316275187,0.077,0.051,1,"Proliferating Basal"
"GPX4...43",0.00105888311441981,0.101706854867631,0.847,0.893,1,"Proliferating Basal"
"MGST2...44",0.00120726456188668,0.553487549798077,0.574,0.647,1,"Proliferating Basal"
"PTGR1...45",0.00190332965283036,0.910120574847805,0.388,0.41,1,"Proliferating Basal"
"ALOX5...46",0.00420249523025842,-0.619695862089465,0.004,0.011,1,"Proliferating Basal"
"PLA2G4F...47",0.00488804505246342,3.48703641052062,0.011,0.003,1,"Proliferating Basal"
"LIPA...48",0.00662852686464973,0.357510929735706,0.221,0.277,1,"Proliferating Basal"
"CBR3...49",0.0122933277337346,0.484730625287379,0.164,0.208,1,"Proliferating Basal"
"PTGS2...50",0.0162922940179888,-0.142108265556454,0.025,0.039,1,"Proliferating Basal"
"CYP2J2...51",0.0187203156712984,0.818444220456727,0.149,0.128,1,"Proliferating Basal"
"CYP2C18...52",0.0197277936352941,1.3935181208807,0.022,0.012,1,"Proliferating Basal"
"EPHX2...53",0.0209579674346493,1.00473008127243,0.195,0.18,1,"Proliferating Basal"
"LTB4R...54",0.0246232205675602,0.356374583576404,0.171,0.21,1,"Proliferating Basal"
"ACOT11...55",0.0251346803569154,0.215064298442708,0.101,0.126,1,"Proliferating Basal"
"GGT6...56",0.0399523602786409,0.315975631164298,0.167,0.206,1,"Proliferating Basal"
"TBXAS1...57",0.051564819859221,-0.605202950049535,0.006,0.012,1,"Proliferating Basal"
"CYP4F3...58",0.0579427333677159,0.495481227455114,0.082,0.103,1,"Proliferating Basal"
"CYP2B6...59",0.0637283369758085,0.376398329801958,0.077,0.095,1,"Proliferating Basal"
"ACOT8...60",0.0658033824889912,0.519594835613609,0.072,0.091,1,"Proliferating Basal"
"GPX7...61",0.13703063821107,0.400693816147407,0.082,0.098,1,"Proliferating Basal"
"PLA2G4A...62",0.142023057186716,0.237246161561852,0.047,0.058,1,"Proliferating Basal"
"PTGES2...63",0.178290919308605,0.467752165548545,0.212,0.246,1,"Proliferating Basal"
"ACAT1...64",0.188727710445313,0.586166618586905,0.209,0.244,1,"Proliferating Basal"
"GPX1...65",0.215723744411105,0.307144781055967,0.612,0.808,1,"Proliferating Basal"
"GGT7...66",0.228901011890295,0.759607678405395,0.174,0.17,1,"Proliferating Basal"
"ABCC4...67",0.352163400395228,0.43608232389826,0.102,0.115,1,"Proliferating Basal"
"AGPAT2...68",0.385468946567624,0.564292865426301,0.308,0.331,1,"Proliferating Basal"
"PLB1...69",0.403363881398753,0.668651805612962,0.011,0.008,1,"Proliferating Basal"
"LTB4R2...70",0.440270814016988,0.736364951487816,0.05,0.057,1,"Proliferating Basal"
"OXGR1...71",0.672276144067378,1.10463639842152,0.01,0.011,1,"Proliferating Basal"
"PLA2G6...72",0.7138320016283,0.788011056097355,0.031,0.033,1,"Proliferating Basal"
"ACOT4...73",0.96677576409676,0.536080733750234,0.044,0.045,1,"Proliferating Basal"
"ALOX15...74",0,-3.34333517482542,0.494,0.906,0,"Hillock Basal"
"AKR1C3...75",7.91261511368545e-203,2.78718448757637,0.698,0.282,1.88146162173213e-198,"Hillock Basal"
"ELOVL5...76",1.04398477771691e-157,-2.37479671888151,0.089,0.451,2.48238700445527e-153,"Hillock Basal"
"MGST3...77",1.50370333738818e-48,1.03874272574393,0.667,0.572,3.57550579564161e-44,"Hillock Basal"
"ABCC1...78",1.95262159707728e-46,-1.77893639077342,0.043,0.18,4.64294363353037e-42,"Hillock Basal"
"GPX1...79",1.69888421526828e-43,-0.416682434724604,0.468,0.841,4.03960688706491e-39,"Hillock Basal"
"ACSL3...80",1.65195820087361e-35,-0.843585345698712,0.216,0.416,3.92802621003726e-31,"Hillock Basal"
"ACSL4...81",7.5255884968241e-30,-1.03121742769749,0.081,0.208,1.78943443277484e-25,"Hillock Basal"
"CYP2E1...82",1.96227252273184e-22,-2.44643772166084,0.001,0.039,4.66589160455176e-18,"Hillock Basal"
"MAPKAPK2...83",1.8848850184123e-21,-0.692313966029369,0.098,0.21,4.48187959678076e-17,"Hillock Basal"
"PLA2G10...84",2.69527552027352e-21,1.80435444725634,0.249,0.135,6.40882613210638e-17,"Hillock Basal"
"GPX3...85",3.29775297260476e-21,2.52361964826864,0.115,0.026,7.84139701825959e-17,"Hillock Basal"
"HPGD...86",2.65755093990388e-19,-0.793425712160492,0.452,0.599,6.31912462490344e-15,"Hillock Basal"
"GGT1...87",1.36932318548697e-18,-2.82434297476794,0.003,0.037,3.25597667045091e-14,"Hillock Basal"
"LTB4R...88",5.76160896951874e-17,-0.763369408186895,0.127,0.233,1.36999538077217e-12,"Hillock Basal"
"LPCAT1...89",7.08150260941499e-17,-3.23186347312446,0.002,0.031,1.6838396904667e-12,"Hillock Basal"
"AGPAT5...90",1.11506477809129e-16,-0.935490227713669,0.038,0.104,2.65140102934546e-12,"Hillock Basal"
"LPCAT3...91",2.13585211724158e-16,-0.59097089973199,0.107,0.206,5.07862916437703e-12,"Hillock Basal"
"LCAT...92",9.51019173769193e-16,-2.06937977123294,0.004,0.036,2.26133339138839e-11,"Hillock Basal"
